author,rate,title
作者:BarbaraDemick,9.2,NothingtoEnvy
作者:李碧华,9.1,霸王别姬
作者:[瑞典]弗雷德里克·巴克曼,9.0,一个叫欧维的男人决定去死
作者:史铁生,9.0,记忆与印象
作者:(印度)泰戈尔,9.0,新月集·飞鸟集
作者:（美）玛格丽特・米切尔,9.4,乱世佳人(上、下)
作者:三毛,9.1,温柔的夜
作者:[美]ScottMeyers,9.2,EffectiveC++中文版
作者:【美】斯科特•安德森（ScottAnderson）,9.1,阿拉伯的劳伦斯
作者:MartinFowler,9.0,重构
作者:杨小凯,9.1,百年中国经济史笔记
作者:冯友兰,9.1,中国哲学简史
作者:白谦慎,9.0,傅山的世界
作者:KennethA.Reek,9.0,C和指针
作者:夏宇,9.1,備忘錄
作者:[英]约翰·穆勒,9.3,论自由
作者:威廉·萨默赛特·毛姆/(W.S.Maugham),9.1,人性的枷锁
作者:Priest,8.8,有匪1
作者:刘和平,9.1,大明王朝1566
作者:王小波,9.0,黄金时代
作者:[美]雅罗姆（IrvinD.Yalom）,9.1,给心理治疗师的礼物
作者:桔子樹,9.4,麒麟之生死與共
作者:张新颖,9.1,沈从文的后半生
作者:[英]肯·福莱特,8.8,世界的凛冬
作者:[美]约翰·斯坦贝克（JohnSteinbeck）,9.0,人鼠之间
作者:[英]威廉·萨默塞特·毛姆,9.0,面纱
作者:[美]田纳西·威廉斯,9.0,欲望号街车
作者:南怀瑾述,9.2,南怀瑾选集（第一卷）
作者:[英]路德维希·维特根斯坦,9.0,哲学研究
作者:(美)丹·西蒙斯,8.9,海伯利安的陨落
作者:[美]丹·西蒙斯,9.1,海伯利安
作者:叶嘉莹,9.1,唐宋词十七讲
作者:张五常,9.0,经济解释卷一：科学说需求（神州增订版）
作者:钱钟书,9.3,管锥编（全五册）
作者:[日]芥川龙之介,9.2,罗生门
作者:史铁生,9.1,我与地坛
作者:吳念真,9.0,這些人，那些事
作者:(德)亚瑟·叔本华,9.1,叔本华思想随笔
作者:斯·茨威格,9.1,斯·茨威格中短篇小说选
作者:[英]威廉·萨默塞特·毛姆,9.1,毛姆短篇小说精选集
作者:李娟,9.1,阿勒泰的角落
作者:老舍,9.3,四世同堂
作者:大仲马,9.2,基督山伯爵（上下册）
作者:[意大利]卡尔维诺,9.0,卡尔维诺文集（第五卷）
作者:王小波,9.1,黄金时代白银时代
作者:[英]贡布里希(SirE.H.Gombrich),9.6,艺术的故事
作者:[澳]格里高利·大卫·罗伯兹,9.0,项塔兰
作者:李光耀,9.2,李光耀观天下
作者:白先勇,9.1,台北人
作者:[英]威尔·贡培兹,9.1,现代艺术150年
作者:(俄罗斯)维克托·阿斯塔菲耶夫,8.9,鱼王
作者:[意]埃莱娜·费兰特,9.1,新名字的故事
作者:果麦编,9.0,孩子们的诗
作者:Priest,8.9,有匪3
作者:[英]J.R.R.托尔金著/[英]艾伦·李图,9.1,霍比特人：精装插图本
作者:早稻,9.6,松风
作者:S.A.阿列克谢耶维奇,9.0,我是女兵，也是女人
作者:[奥]里尔克,9.0,给青年诗人的信
作者:【德】朱莉娅·恩德斯,8.9,肠子的小心思
作者:王鼎钧,9.2,关山夺路
作者:[古希腊]柏拉图,9.3,会饮篇
作者:[英]乔纳森·林恩/(英)安东尼·杰伊编著,9.1,是，大臣
作者:三岛由纪夫,9.1,春雪
作者:周桦,8.9,褚时健传
作者:李微漪,9.0,重返狼群
作者:[荷]文森特•梵高/[美]H.安娜•苏/编,9.4,梵高手稿
作者:盐野七生,9.2,罗马人的故事5
作者:盐野七生,9.1,罗马人的故事（礼品装，全15册）
作者:陈寅恪,9.6,隋唐制度渊源略论稿唐代政治史述论稿
作者:[美]海蒂·格兰特·霍尔沃森,8.8,成功，动机与目标
作者:[英国]鲍曼,9.1,现代性与大屠杀
作者:[美]克雷格·莱特(CraigWright),9.5,聆听音乐
作者:[南朝梁]刘勰著/范文澜注,9.3,文心雕龙注（上下）
作者:老舍,9.1,不成问题的问题
作者:李航,9.0,统计学习方法
作者:[西班牙]路易斯·塞尔努达,8.9,奥克诺斯
作者:（英）特雷·伊格尔顿,9.1,二十世纪西方文学理论
作者:[美]查理·芒格/[美]彼得·考夫曼（编）,8.9,穷查理宝典
作者:[日]星野道夫,9.2,永恒的时光之旅
作者:杨显惠,9.4,定西.孤儿院纪事
作者:蒋廷黻,9.0,中国近代史
作者:夏丏尊/叶圣陶,9.1,文心
作者:康德,9.0,纯粹理性批判
作者:弗兰姆普敦,9.2,建构文化研究
作者:李乾朗,9.3,穿墙透壁
作者:卡伦·霍尼,8.9,我们内心的冲突
作者:[美]艾里希·弗洛姆,9.2,逃避自由
作者:[德国]赫尔曼·黑塞,9.3,纳尔齐斯和歌尔德蒙
作者:[法]盖伊·萨杰,9.0,被遗忘的士兵
作者:[美]埃里克·坎德尔,8.9,追寻记忆的痕迹
作者:冯骥才,9.3,一百个人的十年
作者:(波兰)亚历山德拉·米热林斯卡/丹尼尔·米热林斯基著,9.1,地图（人文版）
作者:阿耐,8.9,大江东去
作者:单之蔷,9.2,中国景色
作者:[英]劳伦斯·里斯,9.5,奥斯维辛
作者:[墨西哥]胡安·鲁尔福,9.0,佩德罗·巴拉莫
作者:[美]弗诺·文奇,9.0,天渊
作者:[英]基思·罗威,9.0,野蛮大陆
作者:杰克·伦敦,9.0,荒野的呼唤
作者:李娟,9.0,遥远的向日葵地
作者:【美】鲁道夫·德雷克斯/【美】薇姬·索尔兹,9.1,孩子：挑战
作者:阿尔蒂尔・兰波,9.0,地狱一季
作者:[美]理查德·耶茨,9.1,革命之路
作者:[美]帕蒂·史密斯,9.0,只是孩子
作者:宗萨蒋扬钦哲仁波切,9.0,正见
作者:宗萨蒋扬钦哲仁波切,9.2,佛教的见地与修道
作者:[意]伊塔洛·卡尔维诺,9.0,看不见的城市
作者:[俄]帕乌斯托夫斯基,9.1,金蔷薇
作者:钱穆,8.9,中国史学名著
作者:王小波,9.0,绿毛水怪
作者:[意]卡洛·罗韦利,8.9,时间的秩序
作者:(美)大卫·马祖凯利,9.1,建筑师
作者:[美]托马斯·库恩/[美]伊安·哈金(导读),9.0,科学革命的结构
作者:[英]威廉·萨默塞特·毛姆,9.1,叶之震颤
作者:[英]奥兰多·费吉斯,9.3,娜塔莎之舞
作者:仇鹿鸣,9.4,魏晋之际的政治权力与家族网络
作者:李碧妍,9.1,危机与重构
作者:[美]沃尔特·李普曼,9.2,舆论
作者:刘和平,9.4,大明王朝1566
作者:故宫博物院,9.0,谜宫·如意琳琅图集
作者:[英]丹尼尔·比尔,8.9,死屋
作者:[日]今敏,9.1,OPUS作品
作者:[美]塔拉·韦斯特弗,8.7,你当像鸟飞往你的山
作者:严耕望,9.2,治史三书
作者:[意]埃莱娜·费兰特,9.2,失踪的孩子
作者:[美]本尼迪克特·安德森,8.9,椰壳碗外的人生
作者:老舍,9.1,离婚
作者:[德]赫尔曼·黑塞,9.0,荒原狼
作者:[美]DanielT.Willingham,9.2,为什么学生不喜欢上学?
作者:[德]叔本华,9.3,人生的智慧
作者:陈忠实,9.0,白鹿原
作者:三毛,9.2,撤哈拉的故事
作者:[美]大卫·波德维尔/克里斯汀·汤普森,9.4,世界电影史（第二版）
作者:[美]汉娜·阿伦特,9.1,人的境况
作者:[美]欧文·亚龙,9.0,叔本华的治疗
作者:施耐庵,9.2,金圣叹批评本水浒传
作者:[晉]郭璞傳/廣陵書社編,9.3,山海經
作者:章詒和,9.1,往事並不如煙
作者:[俄罗斯]瓦西里·格罗斯曼,9.3,生活与命运
作者:(意)贝卡里亚,9.2,论犯罪与刑罚
作者:王小波,9.1,夜行记
作者:史铁生,9.1,史铁生散文
作者:吕楠,9.3,被人遗忘的人：中国精神病人生存状况
作者:的灰,9.3,与他共度61世
作者:王奇生,9.2,党员、党权与党争
作者:[英]詹姆斯·伍德,9.1,小说机杼
作者:[英]赫胥黎,9.1,美丽新世界
作者:[以色列]阿摩司·奥兹,9.0,爱与黑暗的故事
作者:王小波,9.0,黄金时代
作者:ShelSilverstein,9.0,失落的一角遇见大圆满
作者:（瑞典）波·R·汉伯格/（瑞典）爱娃·艾瑞克松（图）,9.1,我的爸爸叫焦尼
作者:(美)菲利普·迪克,9.0,少数派报告
作者:（韩）孔枝泳,9.2,熔炉
作者:叶广芩,9.1,豆汁记
作者:[美]尼尔·盖曼（NeilGaiman）编/山姆·凯斯（SamKeith）等绘,8.9,睡魔1：前奏与夜曲
作者:[美]戴维•乔治•哈斯凯尔,9.0,看不见的森林
作者:汪曾祺,9.1,人间草木
作者:[美]史蒂芬·奈菲/[美]格雷高里·怀特·史密斯,9.2,梵高传
作者:(法)玛格南图片社/读库编选,9.3,读
作者:刘敦桢,9.1,中国古代建筑史
作者:[法]斯泰凡·厄埃编绘/[法]马塞尔·普鲁斯特原作,9.2,追寻逝去的时光·第一卷
作者:[英]罗莎蒙德·基德曼·考克斯,9.5,荒野之歌
作者:[美]C.赖特·米尔斯/李钧鹏闻翔主编,9.1,社会学的想象力
作者:[英]斯蒂芬·韦斯塔比,9.1,打开一颗心
作者:弗雷德里克·S·米什金,9.2,货币金融学
作者:[美]戴维·迈尔斯,9.4,社会心理学
作者:张德宝等著闻妙释义,9.5,地藏菩萨本愿经
作者:王国维,9.0,人间词话手稿本全编
作者:萧涤非等著,9.4,唐诗鉴赏辞典
作者:（德）叔本华,9.4,叔本华思想随笔
作者:梁思成,9.1,中国建筑史
作者:蒋勋,9.0,蒋勋说红楼梦
作者:艾玛纽埃尔·勒巴热,9.2,切尔诺贝利之春
作者:[英]J.A.贝克,9.1,游隼
作者:顾随/叶嘉莹（笔记）,9.1,中国古典诗词感发
作者:[瑞典]托马斯·特朗斯特罗姆,9.1,特朗斯特罗姆诗歌全集
作者:【美】肯•威尔伯,9.0,恩宠与勇气：超越死亡
作者:[法]本杰明·雷内编绘,9.1,坏狐狸
作者:[美]彼得·林奇/[美]约翰·罗瑟查尔德,9.1,彼得·林奇的成功投资
作者:贺星编辑,9.1,拜厄钢琴基本教程
作者:[美]菲利普·津巴多/[美]迈克尔·利佩,9.0,态度改变与社会影响
作者:李泽厚,9.1,中国古代思想史论
作者:[德]康德,9.1,判断力批判
作者:[俄]列夫·托尔斯泰,9.2,伊凡·伊里奇之死
作者:[阿根廷]豪·路·博尔赫斯,9.2,阿莱夫
作者:(法)阿尔贝·加缪,9.3,卡利古拉
作者:[日]芥川龙之介,9.2,地狱变
作者:[意]伊塔洛·卡尔维诺,9.2,美国讲稿
作者:[古希腊]修昔底德,9.0,伯罗奔尼撒战争史
作者:[古希腊]亚里士多德,9.0,诗学
作者:田余庆,9.4,秦汉魏晋史探微
作者:陈凯歌,9.2,少年凯歌
作者:叶嘉莹,9.3,叶嘉莹说汉魏六朝诗
作者:冯骥才,9.1,一百个人的十年
作者:[俄]费·陀思妥耶夫斯基,9.3,群魔
作者:[西班牙]路易斯·塞尔努达,9.1,致未来的诗人
作者:[法]萧沆,9.0,解体概要
作者:[瑞典]英格玛·伯格曼,9.0,魔灯
作者:朱光潜,9.0,朱光潜谈美
作者:[西班牙]路易斯·塞尔努达,8.8,现实与欲望
作者:一行禅师,8.9,佛陀传
作者:(德)尼采,9.3,查拉图斯特拉如是说
作者:[波兰]安德烈·斯帕克沃斯基,9.0,猎魔人2：宿命之剑
作者:王小波,8.9,沉默的大多数
作者:鲁迅,9.2,故事新编
作者:（古希腊）柏拉图,9.0,柏拉图对话集
作者:WilliamStrunkJr./E.B.White,9.2,"TheElementsofStyle,FourthEdition"
作者:陈海涛/陈琦,9.4,图说敦煌二五四窟
作者:冶文彪,9.1,清明上河图密码6
作者:陳浩基,9.1,1367
作者:[法]米歇尔·福柯,9.4,规训与惩罚(修订译本)(第4版)
作者:王国维,9.0,人间词话
作者:王小波,9.1,我的精神家园
作者:梁漱溟,9.1,中国文化要义
作者:[阿根廷]博尔赫斯,9.0,另一个，同一个
作者:[阿根廷]豪·路·博尔赫斯,9.0,博尔赫斯，口述
作者:[阿根廷]豪·路·博尔赫斯,9.1,七夜
作者:[阿根廷]豪·路·博尔赫斯,9.0,诗艺
作者:[伊朗]阿巴斯·基阿鲁斯达米,9.4,樱桃的滋味
作者:[美]帕特·多尔西,9.0,股市真规则
作者:（美）巫鸿,9.0,重屏
作者:美国大都会艺术博物馆,9.0,大都会艺术博物馆指南
作者:[俄]陀思妥耶夫斯基,9.4,白痴
作者:[美]威廉·巴雷特,9.0,非理性的人
作者:[美]汉普顿·塞兹,9.3,冰雪王国
作者:[美]罗兰·米勒(RowlandS.Miller),9.3,亲密关系
作者:[美]本杰明•格雷厄姆（BenjaminGraham）/[美]戴维•多德（DavidL.Dodd）,9.1,证券分析
作者:[美]彼得·L.伯格,9.2,与社会学同游
作者:（古希腊）亚里士多德,9.1,政治学
作者:(英)弗里德利希・冯・哈耶克,9.1,自由秩序原理
作者:矢玉四郎,9.0,晴天有时下猪
作者:鲁迅,9.2,彷徨
作者:[法]哈农编写,9.4,哈农钢琴练指法
作者:[法]阿尔贝·加缪,9.1,加缪手记
作者:费孝通,9.1,生育制度
作者:曲卉,8.9,硅谷增长黑客实战笔记
作者:[日]吉竹伸介,9.1,有呀有呀书店
作者:[美]约翰·威廉斯,9.2,奥古斯都
作者:王小波,9.1,绿毛水怪
作者:博多·舍费尔(SchaferB.),9.1,小狗钱钱
作者:[法]迪迪埃·埃里蓬,8.8,回归故里
作者:[韩]孔枝泳,9.3,熔炉
作者:[英]阿瑟·克拉克,9.1,2010：太空漫游
作者:[英]尤金·罗根,9.3,征服与革命中的阿拉伯人
作者:[英]理查德·J.埃文斯,9.4,第三帝国的到来
作者:[意]伊塔洛·卡尔维诺,8.9,马可瓦尔多
作者:特伦斯•迪金森,9.3,夜观星空
作者:[英]乔纳森·沃尔夫（JonathanWolff）,9.3,牛津大学哲学通识课：政治哲学
作者:萧红,9.1,呼兰河传
作者:[美]詹姆斯·C.斯科特,9.0,六论自发性
作者:刘勃,8.9,失败者的春秋
作者:[美]戴维·巴斯,9.0,进化心理学(第4版)
作者:[墨西哥]胡安·鲁尔福,9.1,佩德罗·巴拉莫
作者:[英]奥尔德斯·赫胥黎,9.1,美丽新世界
作者:[日]芥川龙之介,9.3,竹林中
作者:[捷克]米兰·昆德拉,9.1,不能承受的生命之轻
作者:[美]J.D.塞林格,8.9,九故事
作者:莫言,9.2,檀香刑
作者:老舍,9.1,骆驼祥子
作者:[日]户根勤,9.1,网络是怎样连接的
出版社:机械工业出版社,9.2,当尼采哭泣
"作者:陈福田(作者)/胡晓凯(编者,丛书主编)",9.4,西南联大英文课
作者:老舍,9.2,我这一辈子
作者:[美]严歌苓,9.2,陆犯焉识
作者:王小波李银河,8.9,爱你就像爱生命（精装全彩珍藏）
作者:汪曾祺,9.2,慢煮生活
作者:肖战/黄文文,9.9,助张继科成就大满贯
作者:艾琳娜.斐蘭德,9.2,那不勒斯故事四部曲
作者:夏萌,8.9,你是你吃出来的
作者:[美]莱曼·弗兰克·鲍姆,9.0,绿野仙踪
作者:[白俄]S.A.阿列克谢耶维奇,9.0,切尔诺贝利的祭祷
作者:李银河,9.1,女性主义
作者:张爱玲,9.1,倾城之恋
作者:朱西甯,9.0,铁浆
作者:[奥]弗兰茨·卡夫卡,9.1,审判
作者:[美]约翰·斯坦贝克,9.1,愤怒的葡萄
作者:曹天元,9.0,上帝掷骰子吗？
作者:［日］秋山亮二,9.6,你好小朋友
作者:[英]弗吉尼亚·伍尔夫,9.2,一间只属于自己的房间
作者:[英]米莉·玛洛塔,9.1,地球上最孤单的动物
作者:[古希腊]荷马,9.0,伊利亚特
作者:[美]卡尔·R·罗杰斯,9.2,个人形成论
作者:李泽厚,9.0,华夏美学·美学四讲
作者:汪曾祺,9.0,晚饭花集
作者:(日)小林章,9.0,西文字体
作者:[奥地利]斯蒂芬·茨威格,9.1,一个政治性人物的肖像
作者:司马光,9.8,资治通鉴
作者:[宋]苏轼/刘石导读,9.4,苏轼词集
作者:[南朝梁]刘勰/黄霖导读/黄霖整理集评,9.4,文心雕龙
作者:[德]瓦尔特·莫尔斯,9.0,梦书之城
作者:阿瑟.柯南.道尔,9.2,福尔摩斯探案集
作者:[德]赫尔曼·黑塞,9.1,荒原狼
作者:[葡]若泽·萨拉马戈,9.1,失明症漫记
作者:[英]约翰·穆勒,9.3,论自由
作者:史铁生,9.0,病隙碎笔
作者:（俄）亚历山大•索尔仁尼琴,9.2,癌症楼
作者:[美]弗拉基米尔·纳博科夫,9.2,文学讲稿
作者:陈旭麓,9.1,近代中国社会的新陈代谢
作者:杨显惠,9.5,告别夹边沟
作者:(英)罗尔德·达尔著/(英)昆廷·布莱克绘,9.0,玛蒂尔达
作者:萧冬连,9.6,筚路维艰
作者:[俄]契诃夫,9.3,万尼亚舅舅·三姊妹·樱桃园
作者:[俄]契诃夫,9.4,伊凡诺夫·海鸥
作者:[美]理查德·普雷斯顿,9.2,血殇
作者:鲁迅,9.6,坟
作者:郭彧译注,9.0,周易
作者:路遥,9.0,早晨从中午开始
作者:佐野洋子,9.0,活了100万次的猫
作者:[德]马克思,9.0,1844年经济学哲学手稿
作者:马克思,9.2,路易·波拿巴的雾月十八日
作者:杰克·伦敦,9.0,野性的呼唤
作者:孙幼军,9.1,怪老头儿
作者:王尔德,9.0,道林格雷的画像
作者:裘锡圭,9.4,文字学概要
作者:[法]卢梭,9.0,论人与人之间不平等的起因和基础
作者:包刚升,9.2,政治学通识
作者:(英)弗吉尼亚·伍尔夫,9.0,海浪
作者:RandalE.Bryant/DavidO'Hallaron,9.8,深入理解计算机系统（原书第3版）
作者:[美]尼尔·盖曼（NeilGaiman）编/迈克·德林根贝格（MikeDringenberg）等绘,9.3,睡魔2：玩偶之家
作者:[巴西]法比奥·穆恩/[巴西]加布里埃尔·巴,9.0,一日谈
作者:R•柯朗/H•罗宾/I·斯图尔特,9.3,什么是数学
作者:程大锦,9.1,建筑：形式、空间和秩序
作者:顾随/叶嘉莹,9.2,顾随诗词讲记
作者:(波)瓦迪斯瓦夫.什皮尔曼,9.1,钢琴师
作者:金子美铃,9.1,向着明亮那方
作者:[德]埃里希·玛丽亚·雷马克,9.2,西线无战事
作者:[英国]以赛亚·柏林,9.2,自由及其背叛
作者:项飙,9.4,跨越边界的社区（修订版）
作者:(美)亚隆,9.6,存在主义心理治疗
作者:[英]柏瑞尔·马卡姆,9.0,夜航西飞
作者:甘耀明,9.0,邦查女孩
作者:史铁生,9.2,务虚笔记
作者:[以]丹尼尔·戈迪斯,8.9,以色列
作者:[俄]陀思妥耶夫斯基,9.3,被伤害与侮辱的人们
作者:[俄]费奥多尔·陀思妥耶夫斯基,9.0,涅朵奇卡·涅茨瓦诺娃
作者:（奥）卡夫卡/著/熊亮/编绘,9.2,饥饿艺术家
作者:毛泽东,9.1,论持久战
作者:[美]弗朗西斯·霍奇森·伯内特,9.0,小公主
作者:柏拉图(古希腊),9.3,游叙弗伦苏格拉底的申辩克力同
作者:马克斯·韦伯,9.3,新教伦理与资本主义精神
作者:康拉德•洛伦茨,9.2,所罗门王的指环
作者:白先勇,9.1,孽子
作者:罗伯特・麦基,9.3,故事
作者:叶嘉莹,9.0,人间词话七讲
作者:[美]乔治·斯坦纳,9.3,语言与沉默
作者:美国纽约摄影学院,8.9,美国纽约摄影学院摄影教材（下册）
作者:OscarWilde,9.0,莎乐美道林・格雷的画像
作者:梅拉妮·米歇尔,9.0,复杂
作者:米歇尔·福柯,9.1,疯癫与文明
作者:朱光潜,9.1,给青年的十二封信
作者:[德]尼采,9.2,悲剧的诞生
作者:周雪光,9.2,组织社会学十讲
作者:[英]玛丽·比尔德,9.1,罗马元老院与人民
作者:曹德旺,9.1,心若菩提
作者:[南非]特雷弗·诺亚,9.1,天生有罪
作者:[美]薛爱华,8.9,撒马尔罕的金桃
作者:陈力丹,9.0,新闻理论十讲
作者:[意]普里莫·莱维,9.5,被淹没与被拯救的
作者:[美]柯文,9.3,历史三调
作者:[匈]罗伯特·卡帕,9.0,失焦
作者:BesselvanderKolkM.D.(范德考克),9.0,身体从未忘记
作者:[墨西哥]胡安·鲁尔福,9.0,佩德罗·巴拉莫
作者:叶嘉莹,9.1,叶嘉莹说杜甫诗
作者:李平武,9.4,英语词根与单词的说文解字
作者:刘海龙,9.3,大众传播理论
作者:罗宾德拉纳特·泰戈尔,9.0,飞鸟集
作者:沈从文,9.0,从文自传
作者:德宝法师,9.0,观呼吸
作者:博·赫拉巴尔,9.0,过于喧嚣的孤独
作者:尚荣译注,9.3,坛经
作者:都梁,9.0,血色浪漫
作者:[爱尔兰]乔伊斯,9.1,尤利西斯
作者:(美)伊丽莎白·斯特劳特,9.0,奥丽芙·基特里奇
作者:[法]安东尼•德•圣埃克苏佩里/AntoinedeSaintExupéry,9.1,风沙星辰
作者:[英]弗吉尼亚·伍尔夫,9.1,海浪
作者:张爱玲,9.0,流言
作者:[美]RobertSedgewick/[美]KevinWayne,9.4,算法（第4版）
作者:梁启超,9.2,李鸿章传
作者:(英)莎士比亚(ShakespeareW.),9.0,奥赛罗
作者:[日]三岛由纪夫,9.2,春雪
作者:茨威格,9.0,一个陌生女人的来信
作者:[美]威廉·福克纳,9.0,八月之光
作者:阿城,9.1,遍地风流
作者:[美]理查德·格里格/[美]菲利普·津巴多,9.4,心理学与生活（第19版）
作者:[美]威廉·福克纳,9.0,喧哗与骚动
作者:[英]阿加莎·克里斯蒂,9.0,帷幕
作者:[日]上野千鹤子,9.1,父权制与资本主义
作者:刘子超,8.9,失落的卫星
作者:[美]香奈儿·米勒,9.2,知晓我姓名
作者:[意]埃莱娜·费兰特,8.9,碎片
作者:陶勇,8.8,目光
作者:[美]Mondo公司,9.5,Mondo电影海报艺术典藏
作者:[波兰]安杰伊·萨普科夫斯基,9.3,猎魔人7
作者:[美]罗伯特·谢克里,8.9,世界杂货店
作者:[英]埃德温·A·艾勃特,9.2,平面国
作者:[俄罗斯]瓦西里·格罗斯曼,9.4,生活与命运
